#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
20.74872,18.88603,17.55685,16.97512,16.61085,1.862698,1.329176,0.5817337,0.3642712,GALAXY,BROADLINE,0.2265278,55888,1,1,0,0,125.005387243825,1.70873073624987
18.13667,16.52551,15.88563,15.60885,15.36799,1.611151,0.639883,0.276782,0.2408562,GALAXY,BROADLINE,0.05251186,52238,1,1,0,0,132.922514423144,48.5725095308711
20.32139,18.46043,17.47291,17.0554,16.71115,1.860968,0.9875145,0.4175091,0.3442478,GALAXY,BROADLINE,0.1234697,51993,1,1,0,0,133.825325979627,51.0009068064383
19.15708,17.26234,16.36895,15.94471,15.6249,1.894739,0.8933907,0.4242401,0.3198128,GALAXY,BROADLINE,0.07462595,51993,1,1,0,0,133.840174668681,51.1161966527302
16.62303,14.79997,14.01983,13.61328,13.32549,1.823066,0.780139,0.4065456,0.2877874,GALAXY,BROADLINE,0.0170419,51993,1,1,0,0,134.153918426577,51.9203627603511
20.56386,19.95422,18.78379,18.39104,18.20108,0.609642,1.170433,0.3927441,0.1899662,GALAXY,BROADLINE,0.5040916,52266,1,1,0,0,143.431574851722,56.2482039453739
19.35029,17.67144,16.89406,16.55953,16.31966,1.678844,0.7773781,0.3345299,0.2398701,GALAXY,BROADLINE,0.1250917,52368,1,1,0,0,218.015925915788,61.4124426178987
17.19099,15.43726,14.6444,14.24952,13.96525,1.753736,0.7928534,0.3948879,0.2842703,GALAXY,BROADLINE,0.0454094,52316,1,1,0,0,176.773827746522,65.7876797280806
16.58274,15.11877,14.50829,14.19047,13.96716,1.463974,0.6104794,0.3178196,0.2233114,GALAXY,BROADLINE,0.01350064,52289,1,1,0,0,150.26402362145,4.61927978658616
19.63748,17.58969,16.46657,16.00343,15.64223,2.047796,1.123121,0.4631329,0.3612051,GALAXY,BROADLINE,0.1348765,52072,1,1,0,0,200.034968270812,64.8430324211511
16.77946,14.75245,13.85103,13.40172,13.03944,2.027005,0.9014225,0.4493074,0.3622808,GALAXY,BROADLINE,0.02571606,55269,1,1,0,0,125.156347274443,40.2785165880564
18.39975,16.64995,15.90958,15.58072,15.34197,1.7498,0.7403717,0.3288536,0.2387514,GALAXY,BROADLINE,0.07695445,52238,1,1,0,0,133.17557565484,46.780536029525
